sent_at_unix_ns,latency_us,status
1775317816240671086,2797,ok
1775317816242260419,3816,ok
1775317816245622492,2355,ok
1775317816247152206,2451,ok
1775317816256798817,3648,ok
1775317816261518972,2199,ok
1775317816264855148,1759,ok
1775317816268750889,2683,ok
1775317816275627458,1844,ok
1775317816279639615,1825,ok
1775317816278549907,6289,ok
1775317816283608371,2410,ok
1775317816291268498,1580,ok
1775317816290167046,2868,ok
1775317816297184871,4915,ok
1775317816304244379,3204,ok
1775317816309595497,2806,ok
1775317816311747412,1622,ok
1775317816312385234,2384,ok
1775317816316907048,4268,ok
1775317816319064225,2495,ok
1775317816322633666,2424,ok
1775317816323724320,2266,ok
1775317816327064175,3275,ok
1775317816329218438,1982,ok
1775317816343344294,2994,ok
1775317816349486662,1858,ok
1775317816354492019,1617,ok
1775317816355574625,3348,ok
1775317816366003801,1506,ok
1775317816367093256,2126,ok
1775317816370302727,1554,ok
1775317816374008843,2121,ok
1775317816377206130,3114,ok
1775317816381401198,2103,ok
1775317816389642964,2819,ok
1775317816391794638,2605,ok
1775317816393531290,3047,ok
1775317816396538408,3915,ok
1775317816399747920,1907,ok
1775317816401645630,1778,ok
1775317816403409241,1792,ok
1775317816402735145,2824,ok
1775317816406636203,2939,ok
1775317816415724647,3121,ok
1775317816417884599,1837,ok
1775317816418830027,2504,ok
1775317816422408816,1877,ok
1775317816426430709,3015,ok
1775317816431593182,1872,ok
1775317816439616308,1844,ok
1775317816443608560,1534,ok
1775317816449278096,2457,ok
1775317816453876335,2012,ok
1775317816454977981,3594,ok
1775317816461724787,3469,ok
1775317816467336370,1651,ok
1775317816468426700,1785,ok
1775317816472353349,3161,ok
1775317816475584414,1400,ok
1775317816475500610,1518,ok
1775317816479155152,4479,ok
1775317816478071975,6115,ok
1775317816484189772,1387,ok
1775317816486655023,1627,ok
1775317816487754859,1317,ok
1775317816490153230,2161,ok
1775317816494458731,3371,ok
1775317816495548417,3971,ok
1775317816499534727,3613,ok
1775317816502703707,2044,ok
1775317816504210844,1872,ok
1775317816508222606,2206,ok
1775317816510385285,2008,ok
1775317816513489739,1783,ok
1775317816516348676,2707,ok
1775317816517440468,1743,ok
1775317816517512635,2882,ok
1775317816524536804,6083,ok
1775317816527689775,3347,ok
1775317816532116725,3449,ok
1775317816534267446,2398,ok
1775317816540806649,1943,ok
