timestamp,cpu4,cpu6,cpu8,cpu10
1775426011546073,0,0,0,0
1775426011590942,0,0,0,0
1775426011596620,0,0,0,0
1775426011641712,0,0,0,0
1775426011647293,0,0,0,0
1775426011692441,0,0,0,0
1775426011698019,0,0,0,0
1775426011743204,0,0,0,0
1775426011748764,0,0,0,0
1775426011793937,0,0,0,0
1775426011799494,0,0,0,0
1775426011844657,0,0,0,0
1775426011850217,0,0,0,0
1775426011895397,0,0,0,0
1775426011900938,0,0,0,0
1775426011946111,0,0,0,0
1775426011951657,0,0,0,0
1775426011996832,0,0,0,0
1775426012002379,0,0,0,0
1775426012047576,0,0,0,0
1775426012053101,0,0,0,0
1775426012098324,0,0,0,0
1775426012103820,0,0,0,0
1775426012149046,0,0,0,0
1775426012154572,0,0,0,0
1775426012199771,0,0,0,0
1775426012205320,0,0,0,0
1775426012250491,0,0,0,0
1775426012256046,0,0,0,0
1775426012301210,0,0,0,0
1775426012306654,0,0,0,0
1775426012351769,0,0,0,0
1775426012357125,0,0,0,0
1775426012402245,0,0,0,0
1775426012407683,0,0,0,0
1775426012452743,0,0,0,0
1775426012458182,0,0,0,0
1775426012503307,0,0,0,0
1775426012508635,0,0,0,0
1775426012553754,0,0,0,0
1775426012559067,0,0,0,0
1775426012604317,0,0,0,0
1775426012609490,0,0,0,0
1775426012654906,0,0,0,0
1775426012660058,0,0,0,0
1775426012705509,0,0,0,0
1775426012710477,0,0,0,0
1775426012756106,0,0,0,0
1775426012761045,0,0,0,0
1775426012806737,0,0,0,0
1775426012811502,0,0,0,0
1775426012857297,0,0,0,0
1775426012861997,0,0,0,0
1775426012907933,0,0,0,0
1775426012912485,0,0,0,0
1775426012958523,0,0,0,0
1775426012963065,0,0,0,0
1775426013008997,0,0,0,0
1775426013013672,0,0,0,0
1775426013059565,0,0,0,0
1775426013064251,0,0,0,0
1775426013110132,0,0,0,0
1775426013114671,0,0,0,0
1775426013160698,0,0,0,0
1775426013165109,0,0,0,0
1775426013211254,0,0,0,0
1775426013215671,0,0,0,0
1775426013261666,0,0,0,0
1775426013266270,0,0,0,0
1775426013312326,0,16.6667,16.6667,0
1775426013316838,0,16.6667,16.6667,0
1775426013363444,100,80,100,83.3333
1775426013367472,100,100,100,83.3333
1775426013414626,80,83.3333,75,100
1775426013417974,83.3333,83.3333,100,100
1775426013465826,100,100,100,100
1775426013468514,100,100,100,100
1775426013516750,60,60,66.6667,0
1775426013519135,50,50,66.6667,0
1775426013567577,50,60,83.3333,25
1775426013569677,50,60,83.3333,20
1775426013618433,0,40,0,50
1775426013620214,0,33.3333,0,60
1775426013669214,0,25,0,40
1775426013670765,0,25,0,40
1775426013720095,33.3333,40,20,0
1775426013721360,33.3333,40,20,0
1775426013771022,0,50,33.3333,16.6667
1775426013771996,0,50,33.3333,20
1775426013821852,20,0,40,0
1775426013822630,20,0,40,0
1775426013872712,40,50,16.6667,0
1775426013873085,40,50,20,0
1775426013923469,33.3333,25,0,0
1775426013923665,33.3333,25,0,0
1775426013974164,25,20,0,0
1775426013974230,25,20,0,0
1775426014024699,50,20,20,16.6667
